codlog;tipo;titulo;preposicao;nome;cep
72991;R; ; ;RIBEIRA MACABIRA;08141-000
72992;R; ; ;DIAS DE AVILA;08122-000
72993;R; ; ;REGISTRO VELHO;08151-000
72995;R; ; ;JOSE FELIPE AMARAL;08151-000
72996;R;DOM; ;CAVATI;08440-000
72997;R;STO; ;ANTONIO DA VARGEM ALEGRE;08151-000
72999;R; ; ;DOMINGOS PINHEIRO;08460-000
73000;R; ; ;BARBOSA CALHEIROS;08460-000
73001;R; ; ;GRAMAME;08411-000
73003;R; ; ;AGRESTE POTIGUAR;08430-000
73005;R; ; ;ALFREDO SADE;02471-000
73006;R; ; ;BARRA DO MARABA;08430-000
